s,n,ds_dt,dn_dt
0.0,56.71941772165523,0.0,-0.3234702891546277
0.0,56.395947432500606,0.0,-0.323507487535899
0.0,56.072402746583435,0.0,-0.3235788266315289
0.0,55.74878977923755,0.0,-0.32364404689780457
0.0,55.425114652787826,0.0,-0.32370314146873724
0.0,55.10138349630007,0.0,-0.32375610372914565
0.0,54.777602445329535,0.0,-0.3238029273157004
0.0,54.45377764166867,0.0,-0.3238436061178831
0.0,54.12991523309377,0.0,-0.3238781342788215
0.0,53.80602137311103,0.0,-0.3239065061962947
0.0,53.48210222070118,0.0,-0.32392871652366395
0.0,53.1581639400637,0.0,-0.3239447601705514
0.0,52.83421270036008,0.0,-0.32395463230390575
0.0,52.51025467545589,0.0,-0.32395832834882654
0.0,52.18629604366242,0.0,-0.32395584398929955
0.0,51.86234298747729,0.0,-0.3239471751691987
0.0,51.538401693324026,0.0,-0.3239323180929645
0.0,51.21447835129136,0.0,-0.32391126922632196
0.0,50.89057915487138,0.0,-0.32388402529732474
0.0,50.56671030069671,0.0,-0.3238505832969274
0.0,50.24287798827753,0.0,-0.3238109404798486
0.0,49.919088419737015,0.0,-0.32376509436533496
0.0,49.59534779954686,0.0,-0.32371304273769397
0.0,49.27166233426163,0.0,-0.3236547836472141
0.0,48.94803823225243,0.0,-0.32359031541078664
0.0,48.624481703440054,0.0,-0.3235196366125912
0.0,48.30099895902725,0.0,-0.32344274610475665
0.0,47.97759621123054,0.0,-0.323359643007894
0.0,47.65427967301146,0.0,-0.3232703267118531
0.0,47.331055557806835,0.0,-0.323174796876188
0.0,47.00793007925908,0.0,-0.3230730534308641
0.0,46.684909450945106,0.0,-0.3229650965769224
0.0,46.36199988610524,0.0,-0.3228509267867885
0.0,46.03920759737153,0.0,-0.32273054480492647
0.0,45.716538796495385,0.0,-0.3226039516484178
0.0,45.393999694074694,0.0,-0.32247114860749804
0.0,45.07159649928039,0.0,-0.3223321372459367
0.0,44.74933541958282,0.0,-0.32218691940143884
0.0,44.42722266047751,0.0,-0.3220354971862207
0.0,44.10526442521038,0.0,-0.32187787298740034
0.0,43.78346691450271,0.0,-0.3217140494674098
0.0,43.46183632627556,0.0,-0.32154402956441785
0.0,43.140378855373875,0.0,-0.3213678164926499
0.0,42.81910069329026,0.0,-0.32118541374280696
0.0,42.49800802788826,0.0,-0.3209968250822719
0.0,42.177107043125716,0.0,-0.32080205455549304
0.0,41.856403918777275,0.0,-0.32060110648431817
0.0,41.53590483015708,0.0,-0.32039398546822895
0.0,41.21561594784082,0.0,-0.32018069638468916
0.0,40.8955434373877,0.0,-0.3199612443892228
0.0,40.57569345906237,0.0,-0.31973563491577295
0.0,40.256072167556155,0.0,-0.31950387367682964
0.0,39.93668571170871,0.0,-0.3192659666634796
0.0,39.617540234229196,0.0,-0.3190219201457829
0.0,39.298641871417146,0.0,-0.3187717406728581
0.0,38.97999675288348,0.0,-0.318515435072662
0.0,38.66161100127182,0.0,-0.3182530104524304
0.0,38.34349073197862,0.0,-0.31798447419878784
0.0,38.02564205287425,0.0,-0.3177098339775277
0.0,37.708071064023564,0.0,-0.31742909773378614
0.0,37.390783857406674,0.0,-0.3171422736920455
0.0,37.07378651663947,0.0,-0.31684937035613103
0.0,36.75708511669441,0.0,-0.3165503965090579
0.0,36.44068572362136,0.0,-0.31624536121300295
0.0,36.12459439426841,0.0,-0.3159342738092832
0.0,35.80881717600279,0.0,-0.3156171439181641
0.0,35.49336010643208,0.0,-0.3152939814388134
0.0,35.178229213125164,0.0,-0.31496479654924414
0.0,34.86343051333359,0.0,-0.31462959970589566
0.0,34.54897001371337,0.0,-0.3142884016434735
0.0,34.23485371004664,0.0,-0.3139412133749424
0.0,33.92108758696349,0.0,-0.3135880461912137
0.0,33.607677617664216,0.0,-0.313228911660719
0.0,33.29462976364205,0.0,-0.31286382162914705
0.0,32.98194997440592,0.0,-0.3124927882192168
0.0,32.669644187203616,0.0,-0.31211582383032876
0.0,32.357718326745264,0.0,-0.31173294113810357
0.0,32.04617830492741,0.0,-0.31134415309410457
0.0,31.735030020557055,0.0,-0.31094947292556974
0.0,31.42427935907627,0.0,-0.3105489141347402
0.0,31.113932192287574,0.0,-0.3101424904985226
0.0,30.803994378079224,0.0,-0.30973021606794937
0.0,30.494471760151676,0.0,-0.30931210516765617
0.0,30.185370167743912,0.0,-0.30888817239550903
0.0,29.876695415360658,0.0,-0.3084584326219435
0.0,29.568453302500025,0.0,-0.3080229009894353
0.0,29.260649613381787,0.0,-0.30758159291184306
0.0,28.95329011667634,0.0,-0.3071345240737635
0.0,28.64638056523426,0.0,-0.3066817104299968
0.0,28.339926695816345,0.0,-0.30622316820477735
0.0,28.033934228824705,0.0,-0.30575891389105436
0.0,27.728408868034236,0.0,-0.305288964249975
0.0,27.423356300324755,0.0,-0.30481333631005647
0.0,27.118782195414123,0.0,-0.30433204736635844
0.0,26.81469220559204,0.0,-0.30384511497966393
0.0,26.511091965454796,0.0,-0.30335255697573693
0.0,26.207987091640565,0.0,-0.3028543914444448
0.0,25.905383182565906,0.0,-0.3023506367389057
0.0,25.603285818162753,0.0,-0.3018413114747176
0.0,25.30170055961647,0.0,-0.3013264345289226
0.0,25.000632949104908,0.0,-0.3008060250391118
0.0,24.700088509538247,0.0,-0.30028010240245173
0.0,24.400072744300005,0.0,-0.29974868627474294
0.0,24.10059113698876,0.0,-0.2992117965694625
0.0,23.80164915116108,0.0,-0.29866945345664675
0.0,23.503252230075468,0.0,-0.29812167736188044
0.0,23.20540579643732,0.0,-0.2975684889652275
0.0,22.908115252145013,0.0,-0.29700990920010284
0.0,22.611385978037113,0.0,-0.29644595925216066
0.0,22.31522333364069,0.0,-0.29587666055817863
0.0,22.019632656920756,0.0,-0.29530203480486783
0.0,21.724619264030956,0.0,-0.2947221039276542
0.0,21.430188449065447,0.0,-0.29413689010949895
0.0,21.136345483811958,0.0,-0.29354641577959306
0.0,20.84309561750626,0.0,-0.2929507036120409
0.0,20.550444076587876,0.0,-0.2923497765247074
0.0,20.258396064456846,0.0,-0.2917436576780048
0.0,19.966956761231867,0.0,-0.2911323704734379
0.0,19.67613132350997,0.0,-0.29051593855222535
0.0,19.385924884127416,0.0,-0.2898943857939784
0.0,19.096342551922014,0.0,-0.289267736315157
0.0,18.807389411497102,0.0,-0.28863601446782283
0.0,18.519070522986368,0.0,-0.28799924483822537
0.0,18.23139092182065,0.0,-0.2873574522450646
0.0,17.94435561849624,0.0,-0.2867106617381676
0.0,17.657969598344316,0.0,-0.28605889859712974
0.0,17.37223782130198,0.0,-0.28540218832962516
0.0,17.087165221685066,0.0,-0.28474055666983844
0.0,16.802756707962303,0.0,-0.28407402957695815
0.0,16.51901716253115,0.0,-0.28340263323345916
0.0,16.235951441495384,0.0,-0.28272639404361044
0.0,15.953564374443928,0.0,-0.282045338631848
0.0,15.671860764231688,0.0,-0.28135949384101266
0.0,15.390845386761903,0.0,-0.2806688867306768
0.0,15.110522990770335,0.0,-0.27997354457543633
0.0,14.83089829761103,0.0,-0.2792734948633093
0.0,14.551976001043716,0.0,-0.27856876529397123
0.0,14.273760767023088,0.0,-0.2778593837768728
0.0,13.99625723348997,0.0,-0.27714537842949305
0.0,13.719470010164102,0.0,-0.2764267775754554
0.0,13.44340367833906,0.0,-0.27570360974290153
0.0,13.168062790678299,0.0,-0.2749759036626198
0.0,12.89345187101382,0.0,-0.274243688266008
0.0,12.619575414146283,0.0,-0.27350699268345213
0.0,12.346437885646916,0.0,-0.27276584624229727
0.0,12.074043721661688,0.0,-0.272020278464864
0.0,11.802397328717188,0.0,-0.27127031906661436
0.0,11.53150308352846,0.0,-0.27051599795410475
0.0,11.261365332808978,0.0,-0.26975734522313477
0.0,10.99198839308219,0.0,-0.26899439115667345
0.0,10.723376550495631,0.0,-0.2682271662228368
0.0,10.455534060636516,0.0,-0.26745570107295613
0.0,10.188465148349719,0.0,-0.2666800265394187
0.0,9.922174007557679,0.0,-0.26590017363373963
0.0,9.65666480108224,0.0,-0.2651161735444525
0.0,9.391941660468774,0.0,-0.264328057634982
0.0,9.128008685812276,0.0,-0.26353585744159247
0.0,8.864869945585589,0.0,-0.26273960467126667
0.0,8.602529476469742,0.0,-0.26193933119960633
0.0,8.340991283186376,0.0,-0.2611350690685956
0.0,8.080259338332551,0.0,-0.2603268504843914
0.0,7.820337582217594,0.0,-0.2595147078151352
0.0,7.561229922702281,0.0,-0.2586986735888557
0.0,7.302940235039882,0.0,-0.257878780491263
0.0,7.045472361719755,0.0,-0.2570550613635403
0.0,6.788830112312802,0.0,-0.25622754920007607
0.0,6.533017263319603,0.0,-0.25539627714614044
0.0,6.278037558020521,0.0,-0.254561278495669
0.0,6.023894706328265,0.0,-0.25372258668893677
0.0,5.770592384642647,0.0,-0.2528802353103381
0.0,5.518134235707588,0.0,-0.2520342580860766
0.0,5.266523868470494,0.0,-0.25118468888185586
0.0,5.015764857943877,0.0,-0.2503315617005568
0.0,4.76586074506938,0.0,-0.24947491067979088
0.0,4.516815036584295,0.0,-0.2486147700896275
0.0,4.268631204890125,0.0,-0.24775117433034355
0.0,4.021312687923608,0.0,-0.2468841579298786
0.0,3.774862889030368,0.0,-0.24601375554155713
0.0,3.5292851768404936,0.0,-0.24514000194167118
0.0,3.284582885147026,0.0,-0.24426293202707927
0.0,3.040759312786335,0.0,-0.24338258081278874
0.0,2.7978177235214483,0.0,-0.24249898342946397
0.0,2.555761345927407,0.0,-0.24161217512110356
0.0,2.314593373279241,0.0,-0.24072219124244865
0.0,2.07431696344251,0.0,-0.23982906725666697
0.0,1.8349352387659073,0.0,-0.2389328387328411
0.0,1.5964512859768276,0.0,-0.23803354134339894
0.0,1.3588681560791094,0.0,-0.23713121086184175
0.0,1.1221888642531441,0.0,-0.23622588316018733
0.0,0.8864163897587347,0.0,-0.2353175942065045
0.0,0.6515536758401351,0.0,-0.2344063800624676
0.0,0.4176036296337995,0.0,-0.23349227688076052
0.0,0.18456912207861406,0.0,-0.23257532090260757
0.0,-0.04754701217141566,0.0,-0.23165554845530834
0.0,-0.27874197483200264,513.1204061282889,-0.2325527143748557
1026.2408122565778,-0.512652440921127,513.1204061282889,-0.22874662000825116
1026.2408122565778,-0.736235214848505,0.0,-0.22315255585837146
1026.2408122565778,-0.95895755263787,0.0,-0.22229070719223432
1026.2408122565778,-1.1808166292329736,0.0,-0.22142605072028676
